MLService,Model,Version,GCC,LCC,PayrollService,System,Client,ABKRS,PERNR,Employee_Status,Employee_Type,Job_Code,WT_401KBT%,WT_401MTCH,WT_DEN,WT_Federal Withholding [USA] ,WT_GTL,WT_Gross_Pay,WT_HLTSAG,WT_HLTSAV,WT_LTD,WT_MED,WT_NEC,WT_Net_Pay,WT_REG,WT_SUI (ER) [USA],WT_State Withholding (Work) [USA],WT_Total_Deductions,WT_Total_EE_Taxes,WT_Total_ER_Taxes,WT_VIS
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3069,Active,Regular,101962,0.0,193.26,20.64,287.65,20.93,4831.46,4500,187.5,0.0,137.02,120.79,3263.01,4831.46,109.11,188.81,747.35,821.1,453.75,2.19
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3210,Active,Regular,111575,879.38,234.5,5.06,871.08,17.4,5862.5,3550,147.92,17.7,31.24,146.56,3219.32,5862.5,46.13,234.0,1102.43,1540.75,481.8,0.61
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4517,Active,Regular,102491,318.15,127.26,25.45,337.56,11.85,3181.46,3000,125.0,0.0,52.38,79.54,1797.73,3181.46,87.38,127.33,690.3,693.43,322.07,3.13
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,266,Active,Regular,111824,378.26,216.15,14.33,406.69,15.75,5403.67,7100,295.84,0.0,73.97,135.09,3366.76,5403.67,40.22,211.28,1033.83,1003.08,425.33,1.24
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,245,Active,Regular,111679,133.36,133.35,25.45,401.78,4.44,3333.86,0,0.0,0.0,217.67,83.35,2154.88,3333.86,54.83,0.0,540.47,638.51,296.43,0.69
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5953,Active,Regular,111835,615.61,164.16,13.79,490.96,16.91,4104.02,1500,62.5,0.0,57.37,102.6,2364.0,4104.02,53.98,190.0,754.43,985.59,358.61,5.16
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3967,Active,Regular,103048,0.0,25.0,22.81,545.22,14.33,5018.55,0,0.0,15.16,56.0,125.46,3475.09,5018.55,0.0,157.8,407.85,1135.61,378.85,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2711,Active,Regular,111577,270.51,180.33,93.52,645.9,8.35,4508.34,0,0.0,8.07,0.0,112.71,2834.58,4508.34,110.02,177.11,519.73,1154.03,474.36,23.14
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4401,Active,Regular,110818,0.0,0.0,63.6,394.92,6.0,3531.25,7100,295.84,6.32,94.28,88.28,1947.58,3531.25,80.46,136.16,842.15,741.52,299.89,11.91
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1903,Active,Regular,100982,341.83,195.33,61.11,373.5,21.28,4883.23,6000,250.0,15.38,124.64,122.08,3014.41,4883.23,0.0,297.6,857.63,1011.19,340.09,23.14
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,285,Active,Regular,100930,0.0,184.17,0.0,749.16,56.43,4604.17,2400,100.0,24.26,176.71,115.1,2748.5,4604.17,0.0,0.0,771.23,1084.44,335.28,1.21
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5508,Active,Regular,102636,0.0,169.17,26.1,354.05,6.12,4229.17,3550,147.92,0.0,119.54,105.73,2983.96,4229.17,12.49,0.0,589.61,655.6,314.04,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2811,Active,Regular,101941,422.13,168.85,1.69,574.12,7.65,4221.25,2200,91.67,11.65,85.61,105.53,2410.02,4221.25,116.64,176.48,755.6,1055.63,421.67,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,925,Active,Regular,110809,233.34,133.33,5.12,451.99,4.95,3333.34,1200,50.0,4.47,39.64,83.33,2147.16,3333.34,110.16,120.86,336.99,849.19,378.06,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5559,Active,Regular,111818,0.0,0.0,13.79,425.13,2.7,2916.67,0,0.0,0.0,17.5,72.92,2090.45,2916.67,77.97,147.86,32.29,793.93,306.25,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5882,Active,Regular,103045,0.0,281.67,53.49,600.16,0.0,7041.67,6000,250.0,21.27,150.37,176.04,4965.66,7041.67,0.0,0.0,970.17,1105.84,505.68,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,608,Active,Regular,111662,124.8,74.88,34.65,61.24,2.8,2495.84,0,0.0,1.8,31.5,62.4,1907.81,2495.84,56.31,0.0,350.22,237.81,246.73,11.91
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4660,Active,Regular,111634,845.84,169.17,0.0,496.18,6.89,4229.17,0,0.0,0.0,0.0,105.73,2341.21,4229.17,144.03,171.88,895.84,992.12,468.09,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4501,Active,Regular,111634,166.67,166.67,20.64,354.11,7.5,4166.67,4000,166.67,11.5,56.0,104.17,2559.49,4166.67,141.93,194.05,758.39,848.79,442.56,1.09
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2279,Active,Regular,102640,0.0,194.17,0.0,374.32,13.73,4854.17,0,0.0,0.0,0.0,121.35,2784.0,4854.17,156.92,179.37,1113.42,956.75,543.58,11.91
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1531,Active,Regular,102483,90.89,121.18,10.75,252.29,4.32,3029.4,0,0.0,0.0,17.5,75.74,1991.73,3029.4,14.93,224.26,331.2,706.47,250.78,0.0
