MLService,Model,Version,GCC,LCC,Period,PayrollService,System,Client,ABKRS,PERNR,PersArea,EmpGroup,EmpSubgroup,ForPeriod,GenlTaxableAmount,BenEEContrib,401KWages,BaseForBSI,TGEESocSecTax,TaxBaseWage,TaxGrossWage,TBWithholdingTax,REWithholdingTax,EEGTLITaxable,TNTDWithholdingTax,AnnSal,BonusAccrual,ActBaseSal,9GLG,Year,TaxStatus,ExtraTaxAmt,NumExemptions,ExemptInd_R,FedTaxWithholding
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041719,8368,1,M0,201915,3448.48,-641.42,3367.0,3367.0,3448.48,3367.0,3413.5,8441.85,8441.85,34.98,104.94,80808.0,538.72,3367.0,0.0,2019,2,0.0,0,0,262.51
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63006040,8286,1,M0,201915,3928.94,-490.17,3898.0,3923.0,3928.94,3923.0,3923.0,7567.3,7567.3,5.94,11.88,93552.0,779.6,3898.0,350.82,2019,1,0.0,0,0,627.35
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401041,3068,1,N0,201915,6254.87,-1068.24,6227.04,6227.04,6254.87,6227.04,6227.04,10638.6,10638.6,27.83,55.66,149449.0,1868.11,6227.04,560.43,2019,2,0.0,0,0,681.64
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024832,8364,1,N0,201915,7341.24,-947.42,7302.79,7327.79,7341.24,7327.79,7327.79,12625.18,12625.18,13.45,26.9,175267.07,2921.12,7302.79,0.0,2019,2,0.0,1,0,896.98
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036047,2440,1,78,201915,3168.93,-626.15,3606.89,2564.05,3612.69,2564.05,3163.13,5979.6,5979.6,5.8,11.6,61537.09,0.0,2564.05,0.0,2019,2,0.0,8,0,115.61
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63028588,8371,1,M0,201915,4343.27,-792.95,4336.17,4336.17,4343.27,4336.17,4336.17,3614.54,3614.54,7.1,7.1,104068.0,867.23,4336.17,0.0,2019,2,0.0,1,0,337.58
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10012211,3068,X,U1,201915,737.58,0.0,0.0,737.58,737.58,737.58,737.58,1475.16,1475.16,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,0.0,0,0,24.59
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,224,2440,V,N0,201915,6671.03,-1325.18,6615.13,6615.13,6671.03,6615.13,6266.41,10584.2,10584.2,55.9,111.8,158763.0,1984.54,0.0,595.36,2019,2,0.0,3,0,595.47
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042008,2440,1,78,201915,2587.58,-221.02,2539.34,2539.34,2587.58,2539.34,2585.84,4729.64,4729.64,1.74,3.48,60944.06,0.0,2539.34,0.0,2019,1,0.0,3,0,197.36
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020773,2444,1,78,201915,3919.27,-570.34,3882.27,3907.27,3919.27,3907.27,3907.27,11289.42,7518.28,12.0,24.0,93174.48,0.0,3882.27,349.4,2019,2,150.0,0,0,525.93
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63038754,2444,1,M0,201915,3270.6,-218.22,3241.96,3266.96,3270.6,3266.96,3266.96,6074.06,6074.06,3.64,7.28,77807.0,518.71,3241.96,0.0,2019,1,0.0,2,0,383.75
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402566,3068,1,N0,201915,5522.84,-50.13,5464.92,5464.92,5522.84,5464.92,5511.42,21865.68,16399.26,11.42,11.42,131158.0,1639.48,5464.92,491.84,2019,2,0.0,0,0,749.32
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022615,8603,1,NS,201915,8116.2,-1192.53,7899.29,8085.5,8116.2,8085.5,8085.5,6812.86,6812.86,30.7,30.7,193452.0,4030.25,8060.5,710.94,2019,2,0.0,2,0,968.54
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63025598,8581,1,M0,201915,5899.7,-644.94,5857.75,5882.75,5899.7,5882.75,5882.75,10858.72,10858.72,16.95,33.9,140586.0,1171.55,5857.75,0.0,2019,2,0.0,3,0,590.36
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043328,3068,T,V1,201915,5706.87,0.0,0.0,5706.87,5706.87,5706.87,2726.25,11413.74,11413.74,0.0,0.0,136964.86,0.0,0.0,0.0,2019,2,0.0,4,0,648.22
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63014472,3272,1,M0,201915,5229.52,-621.5,5190.04,5215.04,5229.52,5215.04,5215.04,14006.24,9258.3,14.48,14.48,124561.0,1038.01,5190.04,467.1,2019,2,0.0,0,0,513.74
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,348,2444,1,M0,201915,5090.95,-1163.23,5028.54,5053.54,5090.95,5053.54,5053.54,11992.11,7969.8,37.41,74.82,120685.0,1005.71,5028.54,515.43,2019,1,50.0,1,0,683.65
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042840,1020,1,78,201915,3034.26,-423.94,2903.56,2854.16,3083.66,2854.16,3029.16,2469.62,2469.62,5.1,5.1,68499.95,0.0,2854.16,0.0,2019,2,0.0,0,0,221.19
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401433,242,1,M0,201915,4094.93,-379.0,4073.13,4073.13,4094.93,4073.13,4073.13,7464.26,7464.26,21.8,43.6,97755.0,651.7,4073.13,0.0,2019,2,0.0,3,0,309.69
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003684,2616,1,M0,201915,4300.01,-1110.67,4188.38,4188.38,4300.01,4188.38,4267.97,2999.76,2999.76,32.04,32.04,100521.0,837.68,4188.38,429.3,2019,1,0.0,2,0,375.55
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,67,2616,1,M0,201915,4177.91,-748.06,4067.71,4092.71,4177.91,4092.71,4165.75,3498.64,3498.64,12.16,12.16,97625.0,650.83,4067.71,416.94,2019,1,0.0,0,0,562.3
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402767,8603,1,O0,201915,10958.93,-1156.41,7813.97,10418.63,10958.93,10418.63,10418.63,6927.43,6927.43,50.72,50.72,250047.0,6251.18,10418.63,703.26,2019,2,250.0,0,0,1320.74
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10401873,8286,1,M0,201915,4623.82,-659.63,4508.67,4533.67,4623.82,4533.67,4618.1,7666.94,7666.94,5.72,11.44,108208.0,901.73,4508.67,405.78,2019,2,0.0,2,0,342.85
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10400859,3147,1,M0,201915,3634.47,-281.41,3626.04,3626.04,3634.47,3626.04,3626.04,13412.72,10059.54,8.43,25.29,87025.0,580.17,3626.04,72.52,2019,1,40.0,10,0,205.3
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402538,3068,T,O0,201915,9074.2,-321.0,8533.67,8558.67,11377.55,8558.67,8558.67,22382.2,22382.2,25.95,51.9,204808.0,5120.2,8533.67,0.0,2019,2,0.0,4,0,1829.82
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004945,3272,1,M0,201915,4196.81,-942.61,4127.42,4127.42,4196.81,4127.42,4127.42,6740.37,6740.37,69.39,138.78,99058.0,825.48,4127.42,423.06,2019,2,0.0,3,0,249.68
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,411,865,X,U0,201915,606.11,0.0,0.0,0.0,0.0,30928.45,606.11,606.11,606.11,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,0.0,4,0,0.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,367,2443,1,M0,201915,5441.48,-421.68,5418.13,5418.13,5441.48,5418.13,5418.13,10104.86,10104.86,23.35,46.7,130035.0,1083.63,5418.13,162.54,2019,2,0.0,1,0,619.74
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63024686,8626,1,N0,201915,9154.58,-1021.52,9019.72,9135.83,9154.58,9135.83,9135.83,16169.06,16169.06,18.75,37.5,218660.0,3644.33,9110.83,0.0,2019,1,0.0,10,0,1203.94
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004881,3272,1,N0,201915,6503.93,-1034.33,6475.29,6475.29,6503.93,6475.29,6475.29,17583.33,11690.82,28.64,28.64,155407.0,1942.59,6475.29,663.72,2019,2,0.0,3,0,653.09
